"","lGz","age","source","Sources"
"168",12.02,88,"19model","acceptable model parameter examples"
"169",9.04400000000001,93,"19model","acceptable model parameter examples"
"170",7.186,98,"19model","acceptable model parameter examples"
"171",10.038,103,"19model","acceptable model parameter examples"
"172",12.382,63,"20model","acceptable model parameter examples"
"173",10.766,68,"20model","acceptable model parameter examples"
"174",13.316,73,"20model","acceptable model parameter examples"
"175",14.028,78,"20model","acceptable model parameter examples"
"176",7.124,83,"20model","acceptable model parameter examples"
"177",12.312,88,"20model","acceptable model parameter examples"
"178",8.988,93,"20model","acceptable model parameter examples"
"179",7.11600000000001,98,"20model","acceptable model parameter examples"
"180",10.06,103,"20model","acceptable model parameter examples"
"181",13.256,63,"21model","acceptable model parameter examples"
"182",12.996,68,"21model","acceptable model parameter examples"
"183",14.386,73,"21model","acceptable model parameter examples"
"184",14.19,78,"21model","acceptable model parameter examples"
"185",8.204,83,"21model","acceptable model parameter examples"
"186",11.702,88,"21model","acceptable model parameter examples"
"187",8.89000000000001,93,"21model","acceptable model parameter examples"
"188",7.21800000000001,98,"21model","acceptable model parameter examples"
"189",9.75400000000001,103,"21model","acceptable model parameter examples"
"190",14.006,63,"22model","acceptable model parameter examples"
"191",13.546,68,"22model","acceptable model parameter examples"
"192",15.126,73,"22model","acceptable model parameter examples"
"193",14.646,78,"22model","acceptable model parameter examples"
"194",7.714,83,"22model","acceptable model parameter examples"
"195",11.99,88,"22model","acceptable model parameter examples"
"196",8.50999999999999,93,"22model","acceptable model parameter examples"
"197",6.824,98,"22model","acceptable model parameter examples"
"198",9.608,103,"22model","acceptable model parameter examples"
"199",14.696,63,"23model","acceptable model parameter examples"
"200",12.79,68,"23model","acceptable model parameter examples"
"201",14.738,73,"23model","acceptable model parameter examples"
"202",14.716,78,"23model","acceptable model parameter examples"
"203",7.46,83,"23model","acceptable model parameter examples"
"204",12.16,88,"23model","acceptable model parameter examples"
"205",8.418,93,"23model","acceptable model parameter examples"
"206",6.458,98,"23model","acceptable model parameter examples"
"207",9.464,103,"23model","acceptable model parameter examples"
"208",12.334,63,"24model","acceptable model parameter examples"
"209",10.758,68,"24model","acceptable model parameter examples"
"210",12.88,73,"24model","acceptable model parameter examples"
"211",13.19,78,"24model","acceptable model parameter examples"
"212",7.112,83,"24model","acceptable model parameter examples"
"213",11.462,88,"24model","acceptable model parameter examples"
"214",8.48000000000001,93,"24model","acceptable model parameter examples"
"215",6.89400000000001,98,"24model","acceptable model parameter examples"
"216",9.39399999999999,103,"24model","acceptable model parameter examples"
"217",12.472,63,"25model","acceptable model parameter examples"
"218",12.012,68,"25model","acceptable model parameter examples"
"219",13.604,73,"25model","acceptable model parameter examples"
"220",13.836,78,"25model","acceptable model parameter examples"
"221",7.276,83,"25model","acceptable model parameter examples"
"222",11.876,88,"25model","acceptable model parameter examples"
"223",8.70599999999999,93,"25model","acceptable model parameter examples"
"224",6.98599999999999,98,"25model","acceptable model parameter examples"
"225",9.566,103,"25model","acceptable model parameter examples"
"226",15.754,63,"26model","acceptable model parameter examples"
"227",14.432,68,"26model","acceptable model parameter examples"
"228",15.582,73,"26model","acceptable model parameter examples"
"229",15.31,78,"26model","acceptable model parameter examples"
"230",7.914,83,"26model","acceptable model parameter examples"
"231",12.672,88,"26model","acceptable model parameter examples"
"232",8.992,93,"26model","acceptable model parameter examples"
"233",7.05000000000001,98,"26model","acceptable model parameter examples"
"234",9.974,103,"26model","acceptable model parameter examples"
"235",11.644,63,"27model","acceptable model parameter examples"
"236",10.672,68,"27model","acceptable model parameter examples"
"237",12.278,73,"27model","acceptable model parameter examples"
"238",12.38,78,"27model","acceptable model parameter examples"
"239",7.30400000000001,83,"27model","acceptable model parameter examples"
"240",10.796,88,"27model","acceptable model parameter examples"
"241",8.35,93,"27model","acceptable model parameter examples"
"242",6.92800000000001,98,"27model","acceptable model parameter examples"
"243",9.098,103,"27model","acceptable model parameter examples"
"244",12.73,63,"28model","acceptable model parameter examples"
"245",12.436,68,"28model","acceptable model parameter examples"
"246",14.474,73,"28model","acceptable model parameter examples"
"247",14.544,78,"28model","acceptable model parameter examples"
"248",7.85400000000001,83,"28model","acceptable model parameter examples"
"249",12.09,88,"28model","acceptable model parameter examples"
"250",8.866,93,"28model","acceptable model parameter examples"
"251",7.19999999999999,98,"28model","acceptable model parameter examples"
"252",10.072,103,"28model","acceptable model parameter examples"
"253",11.948,63,"29model","acceptable model parameter examples"
"254",10.414,68,"29model","acceptable model parameter examples"
"255",12.748,73,"29model","acceptable model parameter examples"
"256",13.552,78,"29model","acceptable model parameter examples"
"257",7.152,83,"29model","acceptable model parameter examples"
"258",11.938,88,"29model","acceptable model parameter examples"
"259",8.472,93,"29model","acceptable model parameter examples"
"260",6.672,98,"29model","acceptable model parameter examples"
"261",9.714,103,"29model","acceptable model parameter examples"
"262",12.656,63,"30model","acceptable model parameter examples"
"263",11.854,68,"30model","acceptable model parameter examples"
"264",14.21,73,"30model","acceptable model parameter examples"
"265",14.532,78,"30model","acceptable model parameter examples"
"266",7.70600000000001,83,"30model","acceptable model parameter examples"
"267",12.14,88,"30model","acceptable model parameter examples"
"268",8.422,93,"30model","acceptable model parameter examples"
"269",6.66999999999999,98,"30model","acceptable model parameter examples"
"270",9.766,103,"30model","acceptable model parameter examples"
"271",11.494,63,"31model","acceptable model parameter examples"
"272",10.374,68,"31model","acceptable model parameter examples"
"273",12.984,73,"31model","acceptable model parameter examples"
"274",13.82,78,"31model","acceptable model parameter examples"
"275",7.198,83,"31model","acceptable model parameter examples"
"276",12.22,88,"31model","acceptable model parameter examples"
"277",8.414,93,"31model","acceptable model parameter examples"
"278",6.822,98,"31model","acceptable model parameter examples"
"279",9.726,103,"31model","acceptable model parameter examples"
"280",12.22,63,"32model","acceptable model parameter examples"
"281",12.012,68,"32model","acceptable model parameter examples"
"282",13.824,73,"32model","acceptable model parameter examples"
"283",13.644,78,"32model","acceptable model parameter examples"
"284",7.89399999999999,83,"32model","acceptable model parameter examples"
"285",11.16,88,"32model","acceptable model parameter examples"
"286",8.73,93,"32model","acceptable model parameter examples"
"287",7.236,98,"32model","acceptable model parameter examples"
"288",9.936,103,"32model","acceptable model parameter examples"
"289",12.388,63,"33model","acceptable model parameter examples"
"290",12.902,68,"33model","acceptable model parameter examples"
"291",14.62,73,"33model","acceptable model parameter examples"
"292",14.202,78,"33model","acceptable model parameter examples"
"293",7.916,83,"33model","acceptable model parameter examples"
"294",11.548,88,"33model","acceptable model parameter examples"
"295",8.89399999999999,93,"33model","acceptable model parameter examples"
"296",7.288,98,"33model","acceptable model parameter examples"
"297",9.828,103,"33model","acceptable model parameter examples"
"298",13.262,63,"34model","acceptable model parameter examples"
"299",13.416,68,"34model","acceptable model parameter examples"
"300",15.578,73,"34model","acceptable model parameter examples"
"301",15.486,78,"34model","acceptable model parameter examples"
"302",7.736,83,"34model","acceptable model parameter examples"
"303",12.314,88,"34model","acceptable model parameter examples"
"304",8.41,93,"34model","acceptable model parameter examples"
"305",6.512,98,"34model","acceptable model parameter examples"
"306",9.52800000000001,103,"34model","acceptable model parameter examples"
"307",11.28,63,"35model","acceptable model parameter examples"
"308",10.288,68,"35model","acceptable model parameter examples"
"309",12.342,73,"35model","acceptable model parameter examples"
"310",12.878,78,"35model","acceptable model parameter examples"
"311",7.69,83,"35model","acceptable model parameter examples"
"312",11.196,88,"35model","acceptable model parameter examples"
"313",8.64,93,"35model","acceptable model parameter examples"
"314",7.14599999999999,98,"35model","acceptable model parameter examples"
"315",10.118,103,"35model","acceptable model parameter examples"
"316",12.452,63,"36model","acceptable model parameter examples"
"317",10.372,68,"36model","acceptable model parameter examples"
"318",13.336,73,"36model","acceptable model parameter examples"
"319",14.198,78,"36model","acceptable model parameter examples"
"320",7.174,83,"36model","acceptable model parameter examples"
"321",12.754,88,"36model","acceptable model parameter examples"
"322",9.11600000000001,93,"36model","acceptable model parameter examples"
"323",7.24,98,"36model","acceptable model parameter examples"
"324",10.034,103,"36model","acceptable model parameter examples"
"325",13.228,63,"37model","acceptable model parameter examples"
"326",13.74,68,"37model","acceptable model parameter examples"
"327",15.19,73,"37model","acceptable model parameter examples"
"328",14.56,78,"37model","acceptable model parameter examples"
"329",7.746,83,"37model","acceptable model parameter examples"
"330",11.384,88,"37model","acceptable model parameter examples"
"331",8.60599999999999,93,"37model","acceptable model parameter examples"
"332",6.912,98,"37model","acceptable model parameter examples"
"333",9.602,103,"37model","acceptable model parameter examples"
"334",13.602,63,"38model","acceptable model parameter examples"
"335",12.066,68,"38model","acceptable model parameter examples"
"336",13.918,73,"38model","acceptable model parameter examples"
"337",14.29,78,"38model","acceptable model parameter examples"
"338",7.214,83,"38model","acceptable model parameter examples"
"339",12.306,88,"38model","acceptable model parameter examples"
"340",8.734,93,"38model","acceptable model parameter examples"
"341",6.886,98,"38model","acceptable model parameter examples"
"342",9.996,103,"38model","acceptable model parameter examples"
"343",11.732,63,"39model","acceptable model parameter examples"
"344",9.81199999999999,68,"39model","acceptable model parameter examples"
"345",12.34,73,"39model","acceptable model parameter examples"
"346",13.064,78,"39model","acceptable model parameter examples"
"347",7.64000000000001,83,"39model","acceptable model parameter examples"
"348",11.528,88,"39model","acceptable model parameter examples"
"349",8.774,93,"39model","acceptable model parameter examples"
"350",7.114,98,"39model","acceptable model parameter examples"
"351",9.69,103,"39model","acceptable model parameter examples"
"352",12.976,63,"40model","acceptable model parameter examples"
"353",11.08,68,"40model","acceptable model parameter examples"
"354",13.174,73,"40model","acceptable model parameter examples"
"355",13.66,78,"40model","acceptable model parameter examples"
"356",7.802,83,"40model","acceptable model parameter examples"
"357",11.956,88,"40model","acceptable model parameter examples"
"358",8.904,93,"40model","acceptable model parameter examples"
"359",7.13200000000001,98,"40model","acceptable model parameter examples"
"360",9.85200000000001,103,"40model","acceptable model parameter examples"
"361",13.558,63,"41model","acceptable model parameter examples"
"362",10.506,68,"41model","acceptable model parameter examples"
"363",12.992,73,"41model","acceptable model parameter examples"
"364",13.418,78,"41model","acceptable model parameter examples"
"365",7.50799999999999,83,"41model","acceptable model parameter examples"
"366",12.1,88,"41model","acceptable model parameter examples"
"367",8.83599999999999,93,"41model","acceptable model parameter examples"
"368",7.24,98,"41model","acceptable model parameter examples"
"369",9.62,103,"41model","acceptable model parameter examples"
"370",12.47,63,"42model","acceptable model parameter examples"
"371",12.556,68,"42model","acceptable model parameter examples"
"372",14.814,73,"42model","acceptable model parameter examples"
"373",15.106,78,"42model","acceptable model parameter examples"
"374",8.28,83,"42model","acceptable model parameter examples"
"375",12.456,88,"42model","acceptable model parameter examples"
"376",9.10600000000001,93,"42model","acceptable model parameter examples"
"377",7.248,98,"42model","acceptable model parameter examples"
"378",10.256,103,"42model","acceptable model parameter examples"
"379",11.46,63,"43model","acceptable model parameter examples"
"380",10.484,68,"43model","acceptable model parameter examples"
"381",12.736,73,"43model","acceptable model parameter examples"
"382",13.56,78,"43model","acceptable model parameter examples"
"383",7.088,83,"43model","acceptable model parameter examples"
"384",12.082,88,"43model","acceptable model parameter examples"
"385",8.36800000000001,93,"43model","acceptable model parameter examples"
"386",6.69,98,"43model","acceptable model parameter examples"
"387",10.014,103,"43model","acceptable model parameter examples"
"388",12.602,63,"44model","acceptable model parameter examples"
"389",12.92,68,"44model","acceptable model parameter examples"
"390",14.496,73,"44model","acceptable model parameter examples"
"391",14.27,78,"44model","acceptable model parameter examples"
"392",8.348,83,"44model","acceptable model parameter examples"
"393",11.574,88,"44model","acceptable model parameter examples"
"394",8.38000000000001,93,"44model","acceptable model parameter examples"
"395",6.88000000000001,98,"44model","acceptable model parameter examples"
"396",9.88,103,"44model","acceptable model parameter examples"
"397",11.648,63,"45model","acceptable model parameter examples"
"398",10.78,68,"45model","acceptable model parameter examples"
"399",13.206,73,"45model","acceptable model parameter examples"
"400",14.218,78,"45model","acceptable model parameter examples"
"401",7.528,83,"45model","acceptable model parameter examples"
"402",12.422,88,"45model","acceptable model parameter examples"
"403",8.96,93,"45model","acceptable model parameter examples"
"404",7.016,98,"45model","acceptable model parameter examples"
"405",10.298,103,"45model","acceptable model parameter examples"
"406",11.482,63,"46model","acceptable model parameter examples"
"407",10.214,68,"46model","acceptable model parameter examples"
"408",12.39,73,"46model","acceptable model parameter examples"
"409",12.87,78,"46model","acceptable model parameter examples"
"410",7.26,83,"46model","acceptable model parameter examples"
"411",11.136,88,"46model","acceptable model parameter examples"
"412",8.52399999999999,93,"46model","acceptable model parameter examples"
"413",6.908,98,"46model","acceptable model parameter examples"
"414",9.43399999999999,103,"46model","acceptable model parameter examples"
"415",12.644,63,"47model","acceptable model parameter examples"
"416",11.196,68,"47model","acceptable model parameter examples"
"417",13.37,73,"47model","acceptable model parameter examples"
"418",13.836,78,"47model","acceptable model parameter examples"
"419",7.974,83,"47model","acceptable model parameter examples"
"420",12.1,88,"47model","acceptable model parameter examples"
"421",8.56999999999999,93,"47model","acceptable model parameter examples"
"422",6.93,98,"47model","acceptable model parameter examples"
"423",10.008,103,"47model","acceptable model parameter examples"
"424",11.58,63,"48model","acceptable model parameter examples"
"425",10.218,68,"48model","acceptable model parameter examples"
"426",12.378,73,"48model","acceptable model parameter examples"
"427",13.108,78,"48model","acceptable model parameter examples"
"428",7.09399999999999,83,"48model","acceptable model parameter examples"
"429",11.65,88,"48model","acceptable model parameter examples"
"430",8.676,93,"48model","acceptable model parameter examples"
"431",7.00599999999999,98,"48model","acceptable model parameter examples"
"432",9.904,103,"48model","acceptable model parameter examples"
"433",12.946,63,"49model","acceptable model parameter examples"
"434",12.062,68,"49model","acceptable model parameter examples"
"435",13.742,73,"49model","acceptable model parameter examples"
"436",14.176,78,"49model","acceptable model parameter examples"
"437",7.17,83,"49model","acceptable model parameter examples"
"438",12.316,88,"49model","acceptable model parameter examples"
"439",9.038,93,"49model","acceptable model parameter examples"
"440",7.188,98,"49model","acceptable model parameter examples"
"441",10.14,103,"49model","acceptable model parameter examples"
"442",13.048,63,"50model","acceptable model parameter examples"
"443",12.008,68,"50model","acceptable model parameter examples"
"444",13.584,73,"50model","acceptable model parameter examples"
"445",14.054,78,"50model","acceptable model parameter examples"
"446",7.166,83,"50model","acceptable model parameter examples"
"447",11.872,88,"50model","acceptable model parameter examples"
"448",8.61,93,"50model","acceptable model parameter examples"
"449",6.75,98,"50model","acceptable model parameter examples"
"450",10.038,103,"50model","acceptable model parameter examples"
"451",12.932,63,"51model","acceptable model parameter examples"
"452",12.2,68,"51model","acceptable model parameter examples"
"453",13.882,73,"51model","acceptable model parameter examples"
"454",13.902,78,"51model","acceptable model parameter examples"
"455",7.47,83,"51model","acceptable model parameter examples"
"456",11.682,88,"51model","acceptable model parameter examples"
"457",8.80599999999999,93,"51model","acceptable model parameter examples"
"458",7.10599999999999,98,"51model","acceptable model parameter examples"
"459",9.666,103,"51model","acceptable model parameter examples"
"460",12.092,63,"52model","acceptable model parameter examples"
"461",12.168,68,"52model","acceptable model parameter examples"
"462",14.612,73,"52model","acceptable model parameter examples"
"463",14.578,78,"52model","acceptable model parameter examples"
"464",7.248,83,"52model","acceptable model parameter examples"
"465",12.452,88,"52model","acceptable model parameter examples"
"466",8.966,93,"52model","acceptable model parameter examples"
"467",7.102,98,"52model","acceptable model parameter examples"
"468",9.69399999999999,103,"52model","acceptable model parameter examples"
"469",12.972,63,"53model","acceptable model parameter examples"
"470",13.224,68,"53model","acceptable model parameter examples"
"471",15.026,73,"53model","acceptable model parameter examples"
"472",14.794,78,"53model","acceptable model parameter examples"
"473",8.11999999999999,83,"53model","acceptable model parameter examples"
"474",11.798,88,"53model","acceptable model parameter examples"
"475",8.35400000000001,93,"53model","acceptable model parameter examples"
"476",6.58399999999999,98,"53model","acceptable model parameter examples"
