"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"19693",-1.04934261926059,-0.000887231732776856,0.864506827459378,-0.105345370223725,-1.61835944347553,-0.0239487430824799,3.45056523706858,0.348852220004005,4.77054807098824,5.55798770778738,-0.296258914873452,2.49518708501528,3.44121468862246,-0.0610410393314859,-7.97294806039526,-0.00295782021816963,0.92411050451516,-0.0647797978365684,-0.0389650249768069,0.59848383210206,2.81154682105548,3.85775295216953
"21213",-1.46022301814072,-0.000864880067203366,0.858099357520436,-0.107847228807653,-1.6316599014037,-0.0332354690836721,2.41558960627076,1.66134464854205,3.07181589225491,3.0458403034052,-0.271010089944221,2.17904495412753,3.64226203322402,-0.0631077875302344,-8.17893658622425,-0.00305292832536689,1.14468175487245,-0.0642303740161565,-0.053648926579514,0.56294109590056,3.02649827251072,2.78405001160113
"21337",-2.88730846310909,-0.000801976982850729,0.843510361620099,-0.105498909180229,-1.61809678507223,-0.0283688378197766,3.10651432423452,2.2374443535898,2.75916448037618,5.45196911927076,-0.299153897757495,2.83421054337515,3.77622957375471,-0.0616106885484531,-7.99865664708422,-0.00268800962587454,1.19381463627112,-0.0601165400978929,-0.0637908304214716,0.553220278081494,2.4465085372012,2.9475140180315
"21382",-1.14932396519092,-0.000860140718063559,0.801583427747657,-0.109842422366795,-1.62539939644494,-0.0384804655286325,2.56035679914103,1.06250563724376,4.67289051342257,4.40053549724527,-0.293100251038245,2.33523409967027,3.85953079306429,-0.0578749274856583,-9.34610334063379,-0.00219844559367269,1.35897532185596,-0.0597950830009777,-0.0413601612454588,0.585220117552854,2.27708418090347,3.4418167644471
"23157",-1.01402437128586,-0.000786545966515701,0.771004967997375,-0.109708845499949,-1.63109378930063,-0.0361964920072451,2.85878338973344,1.10557162168933,3.88906315816563,5.57926785986773,-0.289483088857332,2.50174449258396,3.43435263048413,-0.0544339000080579,-8.31580483676298,-0.00298532912757978,1.26590449661333,-0.0698957561040662,-0.064464052691927,0.590135508853361,2.35533298889285,3.10983838815755
"23576",-0.647621543880795,-0.000787702531924227,0.847434236757297,-0.110401664429803,-1.62232886785093,-0.031794216121364,2.72365427665031,0.31787515634345,4.27315463339782,5.83279699526934,-0.297821715827065,2.81909589156818,4.0299775328645,-0.0591301020305251,-7.98832589582898,-0.00224404632175058,0.975126351110544,-0.0379290907610686,-0.0416162422739025,0.575967551975314,2.75464016722695,3.12511636546096
"26425",-2.21985467877344,-0.000796992760828338,0.76941633415747,-0.109072068621733,-1.61633587470143,-0.0348500871262875,3.96565774189391,1.39754685795795,4.89417425627182,4.86583843042798,-0.285981041046531,2.48251707453308,3.82128627857605,-0.0583122760339234,-8.51988444548174,-0.00267892417873198,1.14072285937916,-0.0547494320871213,-0.0406021193208295,0.649506266819901,2.40768859822706,3.35850329939708
"26989",-0.697988916364206,-0.000852632131459398,0.879264443515855,-0.104715394733049,-1.61604437128697,-0.0252794120626299,2.65678892891378,0.543602042704299,3.19260369787683,5.21268935203483,-0.276033260780716,2.18209630741961,3.63988113321366,-0.057030692226843,-9.45993072148191,-0.00308029358539195,1.06496102161674,-0.0494775520438456,-0.0434177591949289,0.584185790046563,2.86324195053813,4.68274386034769
"27249",-2.06933165890466,-0.000898006711232686,0.840754878251133,-0.110261711818169,-1.62965922924289,-0.0280647996465051,2.88212839655662,1.94145740696181,3.73720336432189,3.46589892868796,-0.302764795198799,2.4609175064,3.74553396728112,-0.0543114573809403,-8.24652267171399,-0.00281647534189284,0.99886946928226,-0.0451819667614071,-0.0471783874591045,0.649143910692631,2.43565662985941,3.96316914902352
"27883",-1.73693040579478,-0.000859674214284165,0.827905556636284,-0.110611021930499,-1.62105509259356,-0.0341410020391215,3.15639133637134,1.46745745963085,2.89994172686707,3.77563995710483,-0.288414016652766,2.25448780078025,3.57899170789755,-0.0544631848476411,-8.17742727521011,-0.00242574730884153,0.846690047963622,-0.0580301504065053,-0.0461932033099845,0.619014789681841,3.29035686166114,3.43209624473462
